time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ADX
2019-04-01,0.069363,0.10184,0.0525,0.089778,0.04589019999999999,0.07262463610476924,0.019155763895230736,59.22083422123156,43.0399136323508,NaN,NaN,NaN,NaN,0.009454300515851138,-0.008506300767660846,-0.017960601283511984,25.947832488616285
2019-04-08,0.089803,0.092572,0.0768,0.084502,0.04826034999999999,0.07948496865435653,0.01703573134564345,56.88320384184499,44.2216443979761,NaN,NaN,NaN,NaN,0.009812132074137331,-0.005695436190840321,-0.015507568264977652,27.6317427668334
2019-04-15,0.084984,0.085452,0.071368,0.073955,0.04989809999999999,0.08285748726918311,0.01693871273081686,52.427944445049434,45.20876724354542,NaN,NaN,NaN,NaN,0.00899034042486886,-0.0042696427338915766,-0.013259983158760437,28.81355990467897
2019-04-22,0.073631,0.080079,0.06518,0.066911,0.05168374999999999,0.08426466513064038,0.019102834869359604,49.63201664663755,45.923075629874425,NaN,NaN,NaN,NaN,0.007675325950371369,-0.003665825720796226,-0.011341151671167594,29.47827312960299
2019-04-29,0.066877,0.074,0.063,0.0655,0.053522599999999976,0.08483919461308012,0.02220600538691983,49.06753514613157,46.631367764316316,NaN,NaN,NaN,NaN,0.006462095475931068,-0.0032635323262537597,-0.009725627802184828,29.940711982064123
2019-05-06,0.065252,0.079335,0.05914,0.070487,0.054852049999999986,0.08667485530358685,0.023029244696413133,51.180900549021416,47.53984415107255,NaN,NaN,NaN,NaN,0.005769837777449566,-0.002513330580372869,-0.008283168357822435,30.55178369487169
2019-05-13,0.070088,0.100699,0.069707,0.086824,0.05703349999999998,0.09125220534371511,0.022814794656284845,57.41475519502895,48.764242724005456,NaN,NaN,NaN,NaN,0.0061515848713926706,-0.0005936872685815969,-0.0067452721399742675,31.761533672848717
2019-05-20,0.086669,0.08836,0.074,0.086162,0.05890704999999998,0.09513761000381442,0.022676489996185545,57.09659380747165,49.99199547987968,NaN,NaN,NaN,NaN,0.006087628375329359,0.0008642633291874313,-0.005223365046141928,32.8848729381131
2019-05-27,0.086816,0.09865,0.079589,0.0965,0.061747049999999984,0.10033791552786815,0.023156184472131816,60.754072260170574,51.46918140055298,NaN,NaN,NaN,NaN,0.006435785574496497,0.0028213669219786935,-0.003614418652517803,34.2111862690449
2019-06-03,0.096794,0.097999,0.077281,0.079137,0.06355395,0.10184728555842318,0.025260614441576817,52.6377344791785,52.35603901152981,NaN,NaN,NaN,NaN,0.005241515115619271,0.002937475242006285,-0.0023040398736129857,35.24899114437886
2019-06-10,0.07874,0.097,0.077944,0.092117,0.06612254999999999,0.10484087446516768,0.0274042255348323,57.2369905594462,53.46341639792926,NaN,NaN,NaN,NaN,0.005067559413383308,0.004030409393116149,-0.0010371500202671585,36.21266710004612
2019-06-17,0.092295,0.10243,0.085352,0.096167,0.06904839999999998,0.10756155140260545,0.03053524859739451,58.588265003575415,54.518072802016086,NaN,NaN,NaN,NaN,0.0049607945483311445,0.0051638431651467726,0.00020304861681562781,37.27811610293622
2019-06-24,0.0959,0.10649,0.080999,0.082022,0.07101949999999999,0.107917754389605,0.034121245610394965,52.36460644958297,54.767671244432734,NaN,NaN,NaN,NaN,0.003729271341565962,0.00486463779377308,0.0011353664522071182,37.85000143739636
2019-07-01,0.081446,0.0854,0.075542,0.080156,0.07296874999999999,0.10738954910097978,0.03854795089902019,51.586101814199644,54.72082531561218,NaN,NaN,NaN,NaN,0.002632447208175026,0.0044259254624259,0.0017934782542508745,37.86612388715553
2019-07-08,0.080182,0.082424,0.059958,0.062183,0.07399914999999999,0.10572764644893387,0.04227065355106611,44.69380039280362,53.68318004215304,NaN,NaN,NaN,NaN,0.0006436361871208084,0.002598023488151885,0.0019543873010310765,36.57533316152763
2019-07-15,0.061563,0.065218,0.04988,0.061185,0.07496274999999998,0.1037710764135564,0.04615442358644355,44.33954422022207,52.78720435489426,NaN,NaN,NaN,NaN,-0.0007181603081448658,0.0010566869158499942,0.00177484722399486,34.654368974936176
2019-07-22,0.061424,0.063805,0.053744,0.05935,0.07566999999999999,0.10211930464114335,0.04922069535885661,43.6543900952341,52.160521901336026,NaN,NaN,NaN,NaN,-0.0016673471753966159,-0.00030933674525090993,0.001358010430145706,32.87061651595839
2019-07-29,0.059332,0.062279,0.05601,0.056348,0.07600239999999998,0.10127894077914953,0.05072585922085043,42.49742833461793,51.65090845047747,NaN,NaN,NaN,NaN,-0.0023788353695406456,-0.0016155337817801013,0.0007633015877605444,31.214274946907594
2019-08-05,0.056644,0.05818,0.047318,0.054842,0.07568499999999999,0.10184167428401412,0.04952832571598585,41.897528894549524,51.13876514679305,NaN,NaN,NaN,NaN,-0.002803148181486438,-0.0027406336390975033,0.00006251454238893482,29.023178852024422
2019-08-12,0.054765,0.054765,0.04448,0.050574,0.07473499999999998,0.10300521771405396,0.046464782285946,40.167036405866284,50.352060565139105,NaN,NaN,NaN,NaN,-0.003195097294376378,-0.0039313570755815375,-0.0007362597812051597,27.11609650079494
2019-08-19,0.050558,0.052676,0.04592,0.04942,0.07271709999999999,0.10214207244110868,0.04329212755889131,39.689699295862546,49.08598514377008,NaN,NaN,NaN,NaN,-0.003340204369360433,-0.004911515242905701,-0.0015713108735452678,25.345234317510418
